pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
LD1 5AA,LD1  5AA,LD1 5AA,201005,201105,1,305969,261273,1,W00002420,W99999999,W99999999,W06000023,W05000311,W11000024,W99999999,W92000004,W99999999,W07000068,W08000001,W16000002,W22000011,W11000024,W05000311,W31000001,W01000454,W02000109,W35000175,W11000024,W37000209,W38999999,D2,5B3,52.241583,-3.378543,W99999999,W99999999,W15000004,378,W99999999,W99999999
LD1 5AB,LD1  5AB,LD1 5AB,200112,,0,306543,262536,1,W00002423,W99999999,W99999999,W06000023,W05000312,W11000024,W99999999,W92000004,W99999999,W07000068,W08000001,W16000002,W22000011,W11000024,W05000312,W31000001,W01000455,W02000109,W35001358,W11000024,W37000209,W38999999,D2,1B1,52.253032,-3.370489,W99999999,W99999999,W15000004,769,W99999999,W99999999
LD1 5AD,LD1  5AD,LD1 5AD,200707,,0,306147,261837,1,W00002422,W99999999,W99999999,W06000023,W05000312,W11000024,W99999999,W92000004,W99999999,W07000068,W08000001,W16000002,W22000011,W11000024,W05000312,W31000001,W01000455,W02000109,W35001358,W11000024,W37000209,W38999999,D2,8D1,52.246682,-3.376093,W99999999,W99999999,W15000004,769,W99999999,W99999999
LD1 5AE,LD1  5AE,LD1 5AE,199412,,0,306862,261294,1,W00002429,W99999999,W99999999,W06000023,W05000313,W11000024,W99999999,W92000004,W99999999,W07000068,W08000001,W16000002,W22000011,W11000024,W05000313,W31000001,W01000456,W02000109,W35001358,W11000024,W37000209,W38999999,D2,6A3,52.241923,-3.365474,W99999999,W99999999,W15000004,701,W99999999,W99999999
LD1 5AF,LD1  5AF,LD1 5AF,201401,,0,306518,262169,1,W00002423,W99999999,W99999999,W06000023,W05000312,W11000024,W99999999,W92000004,W99999999,W07000068,W08000001,W16000002,W22000011,W11000024,W05000312,W31000001,W01000455,W02000109,W35001358,W11000024,W37000209,W38999999,D2,1B1,52.249729,-3.370753,W99999999,W99999999,W15000004,769,W99999999,W99999999
LD1 5AG,LD1  5AG,LD1 5AG,201101,201105,0,306467,262202,3,W00002423,W99999999,W99999999,W06000023,W05000312,W11000024,W99999999,W92000004,W99999999,W07000068,W08000001,W16000002,W22000011,W11000024,W05000312,W31000001,W01000455,W02000109,W35001358,W11000024,W37000209,W38999999,D2,1B1,52.250017,-3.371509,W99999999,W99999999,W15000004,769,W99999999,W99999999
LD1 5AJ,LD1  5AJ,LD1 5AJ,201811,,0,306434,262168,1,W00002423,W99999999,W99999999,W06000023,W05000312,W11000024,W99999999,W92000004,W99999999,W07000068,W08000001,W16000002,W22000011,W11000024,W05000312,W31000001,W01000455,W02000109,W35001358,W11000024,W37000209,W38999999,D2,1B1,52.249717,-3.37199,W99999999,W99999999,W15000004,769,W99999999,W99999999
LD1 5AL,LD1  5AL,LD1 5AL,199501,,0,305622,259836,1,W00009781,W99999999,W99999999,W06000023,W05000313,W11000024,W99999999,W92000004,W99999999,W07000068,W08000001,W16000002,W22000011,W11000024,W05000313,W31000001,W01000456,W02000109,W35001359,W11000024,W37000209,W38999999,E2,6A3,52.228618,-3.383229,W99999999,W99999999,W15000004,701,W99999999,W99999999
LD1 5AP,LD1  5AP,LD1 5AP,200509,,1,305975,261281,1,W00002420,W99999999,W99999999,W06000023,W05000311,W11000024,W99999999,W92000004,W99999999,W07000068,W08000001,W16000002,W22000011,W11000024,W05000311,W31000001,W01000454,W02000109,W35000175,W11000024,W37000209,W38999999,D2,5B3,52.241656,-3.378457,W99999999,W99999999,W15000004,378,W99999999,W99999999
LD1 5BA,LD1  5BA,LD1 5BA,200501,,0,306385,262295,1,W00002423,W99999999,W99999999,W06000023,W05000312,W11000024,W99999999,W92000004,W99999999,W07000068,W08000001,W16000002,W22000011,W11000024,W05000312,W31000001,W01000455,W02000109,W35001358,W11000024,W37000209,W38999999,D2,1B1,52.250839,-3.372736,W99999999,W99999999,W15000004,769,W99999999,W99999999
